SKU,Title,Type,Price,Currency,MOQ,Hero_URL,Image_Count,All_Images
korean-brisk,korean-brisk,imported,,INR,,gs://dev-hunt-whatsappapi-media/media/imported/korean-brisk/k-b-1.jpg,6,gs://dev-hunt-whatsappapi-media/media/imported/korean-brisk/k-b-1.jpg gs://dev-hunt-whatsappapi-media/media/imported/korean-brisk/k-b-2.jpg gs://dev-hunt-whatsappapi-media/media/imported/korean-brisk/k-b-3.jpg gs://dev-hunt-whatsappapi-media/media/imported/korean-brisk/k-b-4.jpg gs://dev-hunt-whatsappapi-media/media/imported/korean-brisk/k-b-5.jpg gs://dev-hunt-whatsappapi-media/media/imported/korean-brisk/k-b-6.jpg
korean-crush-cargos,korean-crush-cargos,imported,,INR,,gs://dev-hunt-whatsappapi-media/media/imported/korean-crush-cargos/k-c-c-1.jpg,6,gs://dev-hunt-whatsappapi-media/media/imported/korean-crush-cargos/k-c-c-1.jpg gs://dev-hunt-whatsappapi-media/media/imported/korean-crush-cargos/k-c-c-2.jpg gs://dev-hunt-whatsappapi-media/media/imported/korean-crush-cargos/k-c-c-3.jpg gs://dev-hunt-whatsappapi-media/media/imported/korean-crush-cargos/k-c-c-4.jpg gs://dev-hunt-whatsappapi-media/media/imported/korean-crush-cargos/k-c-c-5.jpg gs://dev-hunt-whatsappapi-media/media/imported/korean-crush-cargos/k-c-c-6.jpg
korean-tensile-cargos,korean-tensile-cargos,imported,,INR,,gs://dev-hunt-whatsappapi-media/media/imported/korean-tensile-cargos/h-k-t-1.jpg,5,gs://dev-hunt-whatsappapi-media/media/imported/korean-tensile-cargos/h-k-t-1.jpg gs://dev-hunt-whatsappapi-media/media/imported/korean-tensile-cargos/h-k-t-2.jpg gs://dev-hunt-whatsappapi-media/media/imported/korean-tensile-cargos/h-k-t-3.jpg gs://dev-hunt-whatsappapi-media/media/imported/korean-tensile-cargos/h-k-t-4.jpg gs://dev-hunt-whatsappapi-media/media/imported/korean-tensile-cargos/h-k-t-5.jpg
lycra320-gsm-solid,lycra320-gsm-solid,indian,,INR,,gs://dev-hunt-whatsappapi-media/media/indian/lycra320-gsm-solid/l-g-s-1.jpg,4,gs://dev-hunt-whatsappapi-media/media/indian/lycra320-gsm-solid/l-g-s-1.jpg gs://dev-hunt-whatsappapi-media/media/indian/lycra320-gsm-solid/l-g-s-2.jpg gs://dev-hunt-whatsappapi-media/media/indian/lycra320-gsm-solid/l-g-s-3.jpg gs://dev-hunt-whatsappapi-media/media/indian/lycra320-gsm-solid/l-g-s-4.jpg
lycrashorts-strout320-gsm-solid,lycrashorts-strout320-gsm-solid,indian,,INR,,gs://dev-hunt-whatsappapi-media/media/indian/lycrashorts-strout320-gsm-solid/ls-s-1.jpg,5,gs://dev-hunt-whatsappapi-media/media/indian/lycrashorts-strout320-gsm-solid/ls-s-1.jpg gs://dev-hunt-whatsappapi-media/media/indian/lycrashorts-strout320-gsm-solid/ls-s-2.jpg gs://dev-hunt-whatsappapi-media/media/indian/lycrashorts-strout320-gsm-solid/ls-s-3.jpg gs://dev-hunt-whatsappapi-media/media/indian/lycrashorts-strout320-gsm-solid/ls-s-4.jpg gs://dev-hunt-whatsappapi-media/media/indian/lycrashorts-strout320-gsm-solid/ls-s-5.jpg
ns-cord-serene,ns-cord-serene,indian,,INR,,gs://dev-hunt-whatsappapi-media/media/indian/ns-cord-serene/n-s-c-s-1.jpg,4,gs://dev-hunt-whatsappapi-media/media/indian/ns-cord-serene/n-s-c-s-1.jpg gs://dev-hunt-whatsappapi-media/media/indian/ns-cord-serene/n-s-c-s-2.jpg gs://dev-hunt-whatsappapi-media/media/indian/ns-cord-serene/n-s-c-s-3.jpg gs://dev-hunt-whatsappapi-media/media/indian/ns-cord-serene/n-s-c-s-4.jpg
ns-corgo-mush,ns-corgo-mush,indian,,INR,,gs://dev-hunt-whatsappapi-media/media/indian/ns-corgo-mush/ns-c-m-1.jpg,3,gs://dev-hunt-whatsappapi-media/media/indian/ns-corgo-mush/ns-c-m-1.jpg gs://dev-hunt-whatsappapi-media/media/indian/ns-corgo-mush/ns-c-m-2.jpg gs://dev-hunt-whatsappapi-media/media/indian/ns-corgo-mush/ns-c-m-3.jpg
ns-flex,ns-flex,indian,,INR,,gs://dev-hunt-whatsappapi-media/media/indian/ns-flex/n-s-f-1.jpg,3,gs://dev-hunt-whatsappapi-media/media/indian/ns-flex/n-s-f-1.jpg gs://dev-hunt-whatsappapi-media/media/indian/ns-flex/n-s-f-2.jpg gs://dev-hunt-whatsappapi-media/media/indian/ns-flex/n-s-f-3.jpg
ns-shorts,ns-shorts,indian,,INR,,gs://dev-hunt-whatsappapi-media/media/indian/ns-shorts/ns-s-1.jpg,5,gs://dev-hunt-whatsappapi-media/media/indian/ns-shorts/ns-s-1.jpg gs://dev-hunt-whatsappapi-media/media/indian/ns-shorts/ns-s-2.jpg gs://dev-hunt-whatsappapi-media/media/indian/ns-shorts/ns-s-3.jpg gs://dev-hunt-whatsappapi-media/media/indian/ns-shorts/ns-s-4.jpg gs://dev-hunt-whatsappapi-media/media/indian/ns-shorts/ns-s-5.jpg
ns-terry-solid,ns-terry-solid,indian,,INR,,gs://dev-hunt-whatsappapi-media/media/indian/ns-terry-solid/n-s-te-1.jpg,3,gs://dev-hunt-whatsappapi-media/media/indian/ns-terry-solid/n-s-te-1.jpg gs://dev-hunt-whatsappapi-media/media/indian/ns-terry-solid/n-s-te-2.jpg gs://dev-hunt-whatsappapi-media/media/indian/ns-terry-solid/n-s-te-3.jpg
